dataset,sample_index,original_label,binary_label,model,lower,upper,boundary,positive_region
breast_cancer,0,0,0,itfrs,0.023535605288823036,0.9890836243759757,0.9655480190871527,0.023535605288823036
breast_cancer,1,0,0,itfrs,0.00834894866469138,0.9979080867948626,0.9895591381301713,0.00834894866469138
breast_cancer,2,0,0,itfrs,0.011236720230287656,0.9981815959384422,0.9869448757081546,0.011236720230287656
breast_cancer,3,0,0,itfrs,0.032315886385252846,0.9774704398209878,0.945154553435735,0.032315886385252846
breast_cancer,4,0,0,itfrs,0.006775488803439811,0.996332755628171,0.9895572668247312,0.006775488803439811
breast_cancer,5,0,0,itfrs,0.004066690510354687,0.9970794223164741,0.9930127318061194,0.004066690510354687
breast_cancer,6,0,0,itfrs,0.006082014767338273,0.9993719254346214,0.9932899106672831,0.006082014767338273
breast_cancer,7,0,0,itfrs,0.0026298861546470986,0.9977782478670266,0.9951483617123795,0.0026298861546470986
breast_cancer,8,0,0,itfrs,0.005293561134357749,0.9969502546616239,0.9916566935272662,0.005293561134357749
breast_cancer,9,0,0,itfrs,0.03602593914817431,0.9779435400633077,0.9419176009151334,0.03602593914817431
breast_cancer,10,0,0,itfrs,0.0020182849309597906,0.9989790673941985,0.9969607824632387,0.0020182849309597906
breast_cancer,11,0,0,itfrs,0.004909037416537698,0.9981611680740702,0.9932521306575325,0.004909037416537698
breast_cancer,12,0,0,itfrs,0.019204418870573225,0.9877931102516887,0.9685886913811155,0.019204418870573225
breast_cancer,13,0,0,itfrs,0.003596071172135007,0.9971497889507276,0.9935537177785926,0.003596071172135007
breast_cancer,14,0,0,itfrs,0.01007765930404314,0.9959118473921746,0.9858341880881315,0.01007765930404314
breast_cancer,15,0,0,itfrs,0.007084968432818917,0.9956832575335541,0.9885982891007352,0.007084968432818917
breast_cancer,16,0,0,itfrs,0.002733509716264515,0.9988564185976316,0.9961229088813671,0.002733509716264515
breast_cancer,17,0,0,itfrs,0.006083716829794694,0.9977038670408119,0.9916201502110172,0.006083716829794694
breast_cancer,18,0,0,itfrs,0.01629731087182229,0.9987006490455661,0.9824033381737438,0.01629731087182229
breast_cancer,19,1,1,itfrs,0.0026053140252975115,0.998849631674435,0.9962443176491375,0.0026053140252975115
breast_cancer,20,1,1,itfrs,0.004426234044728972,0.9985701010960678,0.9941438670513388,0.004426234044728972
breast_cancer,21,1,1,itfrs,0.007740999590501785,0.9983839468733207,0.9906429472828189,0.007740999590501785
breast_cancer,22,0,0,itfrs,0.010632067919184474,0.994952697078027,0.9843206291588426,0.010632067919184474
breast_cancer,23,0,0,itfrs,0.019286188972965634,0.9973483861042779,0.9780621971313123,0.019286188972965634
breast_cancer,24,0,0,itfrs,0.01504753977376172,0.9981666995002274,0.9831191597264657,0.01504753977376172
breast_cancer,25,0,0,itfrs,0.022879294253996707,0.9914483340747421,0.9685690398207454,0.022879294253996707
breast_cancer,26,0,0,itfrs,0.014449928977492643,0.9941647825872056,0.979714853609713,0.014449928977492643
breast_cancer,27,0,0,itfrs,0.005493909279181142,0.9978479071426891,0.992353997863508,0.005493909279181142
breast_cancer,28,0,0,itfrs,0.009852434912077768,0.9966342706454555,0.9867818357333777,0.009852434912077768
breast_cancer,29,0,0,itfrs,0.001995740542332314,0.9982618692722541,0.9962661287299218,0.001995740542332314
breast_cancer,30,0,0,itfrs,0.012556558213956293,0.998155813925782,0.9855992557118257,0.012556558213956293
breast_cancer,31,0,0,itfrs,0.007980572401328878,0.9970794223164741,0.9890988499151452,0.007980572401328878
breast_cancer,32,0,0,itfrs,0.010630938164396198,0.998155813925782,0.9875248757613858,0.010630938164396198
breast_cancer,33,0,0,itfrs,0.009898657823365853,0.9962835140965385,0.9863848562731726,0.009898657823365853
breast_cancer,34,0,0,itfrs,0.004019029851497491,0.9981611680740702,0.9941421382225727,0.004019029851497491
breast_cancer,35,0,0,itfrs,0.008632011502279102,0.9972106940468547,0.9885786825445756,0.008632011502279102
breast_cancer,36,0,0,itfrs,0.0019363727090130345,0.9979300772030957,0.9959937044940826,0.0019363727090130345
breast_cancer,37,1,1,itfrs,0.003478993450208634,0.997930549755221,0.9944515563050124,0.003478993450208634
breast_cancer,38,0,0,itfrs,0.006039062539676898,0.992899803026098,0.9868607404864211,0.006039062539676898
breast_cancer,39,0,0,itfrs,0.004455332799139011,0.9972616858006298,0.9928063530014908,0.004455332799139011
breast_cancer,40,0,0,itfrs,0.0013202849631631652,0.9982106821719763,0.9968903972088131,0.0013202849631631652
breast_cancer,41,0,0,itfrs,0.003277018876091109,0.9971467103565005,0.9938696914804094,0.003277018876091109
breast_cancer,42,0,0,itfrs,0.01944361378578252,0.98863898261015,0.9691953688243675,0.01944361378578252
breast_cancer,43,0,0,itfrs,0.0019754084076107903,0.9983969441764441,0.9964215357688333,0.0019754084076107903
breast_cancer,44,0,0,itfrs,0.0019846106864170876,0.9987175870202627,0.9967329763338456,0.0019846106864170876
breast_cancer,45,0,0,itfrs,0.008980289893777527,0.9966665360862479,0.9876862461924704,0.008980289893777527
breast_cancer,46,1,1,itfrs,0.008018165194730753,0.9992295680203223,0.9912114028255915,0.008018165194730753
breast_cancer,47,0,0,itfrs,0.003401156259288385,0.9979472882513979,0.9945461319921095,0.003401156259288385
breast_cancer,48,1,1,itfrs,0.004798394326788524,0.9986187675133654,0.9938203731865769,0.004798394326788524
breast_cancer,49,1,1,itfrs,0.0012745671117501134,0.9986093610045147,0.9973347938927646,0.0012745671117501134
breast_cancer,50,1,1,itfrs,0.004790949953244472,0.9989774014949098,0.9941864515416653,0.004790949953244472
breast_cancer,51,1,1,itfrs,0.0026264074485640165,0.9990277799529917,0.9964013725044277,0.0026264074485640165
breast_cancer,52,1,1,itfrs,0.004013668166801598,0.9989332956348175,0.9949196274680159,0.004013668166801598
breast_cancer,53,0,0,itfrs,0.004461544036463261,0.997516072558545,0.9930545285220818,0.004461544036463261
breast_cancer,54,0,0,itfrs,0.0023943959258894143,0.9988564185976316,0.9964620226717422,0.0023943959258894143
breast_cancer,55,1,1,itfrs,0.00566082321810113,0.9987984744559621,0.993137651237861,0.00566082321810113
breast_cancer,56,0,0,itfrs,0.01173961954551661,0.9981666995002274,0.9864270799547108,0.01173961954551661
breast_cancer,57,0,0,itfrs,0.004885465723551419,0.9982749511893849,0.9933894854658335,0.004885465723551419
breast_cancer,58,1,1,itfrs,0.005386651435567269,0.9993053848696016,0.9939187334340344,0.005386651435567269
breast_cancer,59,1,1,itfrs,0.011767337092285723,0.997530149590107,0.9857628124978213,0.011767337092285723
breast_cancer,60,1,1,itfrs,0.01412689541158918,0.9955509239866114,0.9814240285750222,0.01412689541158918
breast_cancer,61,1,1,itfrs,0.011537079463102118,0.9969556400960222,0.9854185606329201,0.011537079463102118
breast_cancer,62,0,0,itfrs,0.008507360433602007,0.9962366104791065,0.9877292500455045,0.008507360433602007
breast_cancer,63,1,1,itfrs,0.009716546304732954,0.9945790124123626,0.9848624661076296,0.009716546304732954
breast_cancer,64,0,0,itfrs,0.004330803093265501,0.997756166922857,0.9934253638295915,0.004330803093265501
breast_cancer,65,0,0,itfrs,0.0041008294756407215,0.9985096489364023,0.9944088194607615,0.0041008294756407215
breast_cancer,66,1,1,itfrs,0.0038493152635469263,0.9988474349301804,0.9949981196666334,0.0038493152635469263
breast_cancer,67,1,1,itfrs,0.004350713306716769,0.9988815417437581,0.9945308284370413,0.004350713306716769
